1731149316.2422864 [77500.0, 100000.0, 162000.0, 225000.0] [-65.4, -76.1, -48.7, -86.2]
1731149386.8595881 [77500.0, 100000.0, 162000.0, 225000.0] [-45.8, -76.4, -48.4, -84.5]
1731149457.5202785 [77500.0, 100000.0, 162000.0, 225000.0] [-45.9, -76.4, -48.1, -84.9]
1731149528.1794968 [77500.0, 100000.0, 162000.0, 225000.0] [-51.6, -76.7, -48.3, -87.6]
1731149598.8097162 [77500.0, 100000.0, 162000.0, 225000.0] [-45.8, -76.3, -48.5, -89.3]
